bnpl_installments,missed_payments,risk_score,customer_segment,transaction_year_onehot,transaction_month,transaction_day,transaction_dayofweek,transaction_is_weekend,transaction_month_sin,transaction_month_cos,transaction_day_sin,transaction_day_cos,transaction_dayofweek_sin,transaction_dayofweek_cos,credit_score_log1p,age_log1p,monthly_income_log1p,purchase_amount_log1p,repayment_delay_days_log1p,app_usage_frequency_log1p,debt_to_income_ratio_log1p,employment_type_Salaried,employment_type_Self-Employed,employment_type_Student,employment_type_Unemployed,product_category_Beauty,product_category_Electronics,product_category_Fashion,product_category_Home,product_category_Sports,location_Australia,location_Canada,location_Germany,location_India,location_UK,location_USA,default_flag_0,default_flag_1
12,1,-0.5123423361199,1,True,6,10,5,True,1.2246467991473532e-16,-1.0,0.8978045395707416,-0.4403941515576344,-0.9749279121818236,-0.2225209339563146,6.315358001522335,4.04305126783455,11.135034180627965,8.517393171418904,2.6390573296152584,2.2502386126218363,0.07042237674300668,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
12,1,1.0304469185572986,2,False,10,7,0,False,-0.8660254037844386,0.5000000000000001,0.9884683243281114,0.1514277775045767,0.0,1.0,5.707110264748875,2.995732273553991,8.888598114577473,6.97935940484158,2.6390573296152584,1.4085449700547104,0.13808718093884761,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False
3,2,0.4733285765905325,2,True,4,5,2,False,0.8660254037844387,-0.4999999999999998,0.8486442574947509,0.5289640103269624,0.9749279121818236,-0.22252093395631434,6.156978985585555,3.044522437723423,10.635452961417046,8.517393171418904,2.995732273553991,1.4655675420143985,0.11354614794959972,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
6,3,1.70388667258306,2,True,6,24,5,True,1.2246467991473532e-16,-1.0,-0.9884683243281114,0.15142777750457667,-0.9749279121818236,-0.2225209339563146,5.707110264748875,3.091042453358316,9.576680655666927,8.313320263163948,2.9444389791664403,1.925707441737794,0.24893036004087446,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
9,0,-0.9715058047738278,2,False,10,19,5,True,-0.8660254037844386,0.5000000000000001,-0.651372482722222,-0.7587581226927911,-0.9749279121818236,-0.2225209339563146,6.240275845170769,3.784189633918261,10.665379240409864,8.517393171418904,0.0,2.1234584270966104,0.11037644756326467,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
9,0,-2.1677796951068617,0,False,8,29,3,False,-0.8660254037844385,-0.5000000000000004,-0.3943558551133187,0.9189578116202306,0.43388373911755823,-0.900968867902419,6.593044534142437,3.970291913552122,11.289173228444756,8.517393171418904,0.6931471805599453,1.9906103279732201,0.06066117325904803,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
3,0,-0.904161829371252,2,False,8,21,2,False,-0.8660254037844385,-0.5000000000000004,-0.8978045395707417,-0.44039415155763423,0.9749279121818236,-0.22252093395631434,6.238324625039508,3.8066624897703196,10.673439975059104,8.517393171418904,1.0986122886681098,1.884034745337226,0.10953709069730613,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False
3,0,-0.09603412454033824,2,False,11,17,6,True,-0.5000000000000004,0.8660254037844384,-0.2993631229733582,-0.9541392564000488,-0.7818314824680299,0.6234898018587334,5.91350300563827,4.007333185232471,9.152266244881151,7.430849336801981,0.0,1.5390154481375546,0.16443382870150214,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True
9,2,1.5140991055394368,2,False,11,14,3,False,-0.5000000000000004,0.8660254037844384,0.29936312297335804,-0.9541392564000488,0.43388373911755823,-0.900968867902419,5.726847747587197,3.828641396489095,9.603897527673178,8.196899769103108,3.044522437723423,1.247032293786383,0.21899609339089104,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
6,0,0.3386406257853805,2,True,6,9,4,False,1.2246467991473532e-16,-1.0,0.9680771188662043,-0.2506525322587204,-0.433883739117558,-0.9009688679024191,5.765191102784844,4.007333185232471,8.815654953678246,4.61512051684126,1.6094379124341003,2.3664984187376983,0.014732319866841315,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False
