age,monthly_income,purchase_amount,bnpl_installments,repayment_delay_days,missed_payments,app_usage_frequency,debt_to_income_ratio,transaction_year,transaction_month,transaction_day,transaction_dayofweek,transaction_is_weekend,employment_type_Salaried,employment_type_Self-Employed,employment_type_Student,employment_type_Unemployed,product_category_Beauty,product_category_Electronics,product_category_Fashion,product_category_Home,product_category_Sports,location_Australia,location_Canada,location_Germany,location_India,location_UK,location_USA,default_flag
0.6159800336812251,-0.16228433520619723,0.6802639911858671,-1.3363754385896205,0.7911529174790568,-0.008747438760414656,-0.6409087209472771,-0.13234201391948985,-1.0092257355842222,-1.0199830780554158,-0.5460513170672121,1.0076112396042831,1.5984313616384709,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0.6159800336812251,-1.1000304183892233,-1.7087984949347779,1.336590757277865,0.19572877842966172,-0.008747438760414656,1.6974602939166874,0.6253543401402326,-1.0092257355842222,-1.3094282828965425,-0.31794538364226965,-1.4932856590776526,-0.6256133506883592,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
-1.1955351525119877,-0.9106964090109897,-0.6171053648023341,-1.3363754385896205,-1.2928315691938261,-1.028378469481425,0.16422986901412098,0.89476002142168,0.9908586005499762,0.13779774130909136,1.3928491170447987,1.5077906193406705,1.5984313616384709,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
-1.6072431493740815,-1.0654503868728924,-0.6761444515039966,-1.3363754385896205,0.642296882716708,1.0108835919605956,1.605004187892412,2.3203095884487026,-1.0092257355842222,-0.1516474635320354,0.3663724166325577,-1.4932856590776526,-0.6256133506883592,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
0.9453464311709002,-0.869131053759054,-0.04260046388878384,0.4456020253220365,-0.10198329109503586,-0.008747438760414656,0.2605383127894078,1.277345469641056,-1.0092257355842222,-0.1516474635320354,-1.1163161506295682,-0.9931062793412656,-0.6256133506883592,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
0.03958883807429379,1.6393364308611151,0.6802639911858671,0.4456020253220365,-0.25083932585738467,-0.008747438760414656,0.39537013407480925,-0.9498978288957822,-1.0092257355842222,-0.4410926683731622,1.2787961503323275,1.0076112396042831,1.5984313616384709,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
-0.12509436067054375,1.0704003034895497,0.6802639911858671,-0.44538670663379193,0.04687274366731292,-0.008747438760414656,-0.19018520407893458,-0.8258200621198841,-1.0092257355842222,-0.730537873214289,-0.5460513170672121,-0.9931062793412656,-0.6256133506883592,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.6983216330536439,-0.7315041020171154,0.6802639911858671,-0.44538670663379193,-0.10198329109503586,-0.008747438760414656,1.2775554790564367,1.1978247382850895,0.9908586005499762,0.7166881509913449,0.48042538334502893,0.507431859867896,-0.6256133506883592,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0.6159800336812251,-0.5931075394318076,0.6802639911858671,0.4456020253220365,-0.8462634649067797,-1.028378469481425,-0.4367348201436691,0.6781024942989681,0.9908586005499762,0.42724294615021813,0.13826648320761525,1.0076112396042831,1.5984313616384709,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
-1.6072431493740815,-0.7094982527269905,0.4762439336060762,0.4456020253220365,-1.1439755344314773,-1.028378469481425,1.693607956165676,0.9408977437871452,0.9908586005499762,1.2955785606735986,-1.6865809841919244,0.507431859867896,-0.6256133506883592,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
